PRIORITY,OCR_STATUS,territory_id,District,territory_name,Type,STATUS,Agents,Cycle,Start (actual Start date),End (actual end date),Actual Man-Day,Days planned,Number_of_landmark,Number_of_trending,Number_of_regional,Number_of_iconic,Number_of_brands,total_logs,total_survey_logs,survey_log_new,survey_log_update_exist,survey_log_deleted,total_poi_portal,poi_portal_log_new,poi_portal_log_update_exist,poi_portal_log_deleted,total_trx,trx_draft,trx_ready_to_publish,trx_archived,trx_in_progress,Diffrencess,Area Score,high dansity ?
2,,7877,Al Rimal,city Riyadh Al Rimal district_27,Mixed.,Open,,,,,0.41,0.25,0,0,0,0,7,58,11,5,5,1,47,3,40,4,62,38,18,6,0,-43,1.11,0
2,,8836,Dhahrat Laban,city Riyadh Dhahrat Laban district_850,Mixed.,Open,,,,,0.65,0.43,0,0,0,0,7,42,6,0,6,0,36,0,33,3,116,72,18,26,0,-85,1.11,0
2,,8846,Dhahrat Laban,city Riyadh Dhahrat Laban district_860,Resid.,Open,,,,,0.29,0.2,0,0,0,0,7,37,0,0,0,0,37,0,32,5,56,31,8,17,0,-41,1.11,0
2,,8896,Dhahrat Laban,city Riyadh Dhahrat Laban district_910,Mixed.,Open,,,,,1.14,0.76,0,0,0,0,7,30,1,0,1,0,29,0,22,7,198,150,8,40,0,-158,1.11,0
2,,4836,Al Muruj,Al Muruj district_10000392,Indust.,Off-Plan,fabdelrahman,25-Apr,"December 26, 24","April 29, 25",0.35,0.22,0,0,0,0,7,51,12,3,9,0,39,2,36,1,80,32,19,29,0,2,1.11,0
2,,8897,Dhahrat Laban,city Riyadh Dhahrat Laban district_911,Mixed.,Open,,,,,1.01,0.67,0,0,0,0,7,36,2,0,2,0,34,0,30,4,165,129,9,27,0,-139,1.11,0
2,,4744,Al Hamra,Al Hamra district_124,Resid.,Off-Plan,aalosaimi,25-Apr,"April 7, 25","April 8, 25",1.11,0.41,0,0,0,0,6,244,156,69,42,45,88,1,85,2,170,0,111,59,0,69,1.08,YES
2,,4760,Al Masyaf,Al Maseef district_10000360,Resid.,Off-Plan,ashuban,25-May,"May 5, 25","May 5, 25",0.41,0.25,0,0,0,0,6,86,29,5,24,0,57,0,53,4,68,26,29,13,0,5,1.08,YES
2,,4762,Al Masyaf,Al Maseef district_10000362,Resid.,Off-Plan,ashuban,25-May,"May 5, 25","May 5, 25",0.34,0.16,0,0,0,0,6,81,29,13,16,0,52,1,45,6,57,13,31,13,0,13,1.08,YES
2,,5602,King Faisal,King Faisal district_143,Resid.,Off-Plan,ashuban,25-Apr,"April 27, 25","April 27, 25",0.3,0.15,0,0,0,0,6,82,29,10,19,0,53,2,46,5,51,13,28,10,0,10,1.08,0
2,,4693,Al Izdihar,Al Ezdihar district_67,Mixed.,Off-Plan,,,"May 8, 25","May 8, 25",0.56,0.37,0,0,0,0,6,105,43,12,31,0,62,0,55,7,110,39,49,22,0,12,1.08,0
2,,8937,Dhahrat Laban,city Riyadh Dhahrat Laban district_951,Resid.,Open,,,,,0.71,0.48,0,1,0,0,6,38,0,0,0,0,38,0,37,1,106,92,8,6,0,-100,1.03,0
2,,4782,Al Masyaf,Al Maseef district_10000382,Mixed.,Open,,,"May 12, 25","May 12, 25",0.51,0.34,0,0,0,0,6,98,49,20,29,0,49,0,46,3,109,36,54,19,0,20,1.08,YES
2,,4694,Al Izdihar,Al Ezdihar district_68,Resid.,Closed,surveyor3,25-Mar,"February 27, 25","March 4, 25",0.62,0.32,0,0,0,0,6,221,125,20,42,63,96,1,84,11,167,4,64,99,0,20,1.03,YES
2,,5398,Al Salam,city Riyadh Al Salam district_301,Resid.,Off-Plan,ashuban,25-May,"May 18, 25","May 18, 25",0.19,0.12,0,0,0,0,7,67,33,17,16,0,34,0,33,1,29,17,9,3,0,-26,1.01,0
2,,5441,Olaishah,city Riyadh Olaishah district_1268,Mixed.,Open,,,,,0.56,0.37,1,0,0,0,6,53,0,0,0,0,53,1,47,5,90,63,14,13,0,-78,1,YES
2,,4869,Al Nada,Al Nada district_19,Resid.,Open,,,,,0.36,0.24,0,0,0,0,6,59,2,0,2,0,57,0,54,3,59,38,13,8,0,-49,0.93,YES
2,,6830,Al Qairawan,Al Qirwan district_278,Resid.,Open,,,,,0.22,0.15,0,0,0,0,6,32,0,0,0,0,32,1,29,2,36,24,8,4,0,-31,0.93,YES
2,,8036,Al Rimal,city Riyadh Al Rimal district_55,Resid.,Open,,,,,0.39,0.26,0,0,0,0,6,38,0,0,0,0,38,0,37,1,56,49,6,1,0,-55,0.93,0
2,,8468,Al Zahra,city Riyadh Al Zahrah district_167,Mixed.,Open,,,,,0.24,0.16,0,0,0,0,6,38,0,0,0,0,38,1,35,2,38,22,9,7,0,-33,0.93,0
2,,8822,Dhahrat Laban,city Riyadh Dhahrat Laban district_835,Mixed.,Open,,,,,0.49,0.32,0,0,0,0,6,37,0,0,0,0,37,1,33,3,86,54,13,19,0,-68,0.93,0
2,,8917,Dhahrat Laban,city Riyadh Dhahrat Laban district_931,Mixed.,Open,,,,,0.16,0.1,0,0,0,0,6,12,0,0,0,0,12,0,11,1,23,16,6,1,0,-22,0.93,0
2,,8942,Dhahrat Laban,city Riyadh Dhahrat Laban district_956,Resid.,Open,,,,,0.38,0.25,0,0,0,0,6,30,0,0,0,0,30,0,25,5,63,45,7,11,0,-53,0.93,0
2,,5588,King Faisal,King Faisal district_129,Resid.,Open,,,,,0.18,0.12,0,0,0,0,6,35,0,0,0,0,35,2,32,1,31,15,12,4,0,-25,0.93,YES
2,,5636,Al Wahah,RUH_An Nuzhah 1,Mixed.,Open,,,,,0.29,0.2,0,0,0,0,6,43,0,0,0,0,43,0,40,3,55,30,9,16,0,-41,0.93,YES
2,,5268,Al Rawabi,city Riyadh Al Rawabi district_214,Resid.,Open,,,,,0.06,0.04,0,0,0,0,5,24,0,0,0,0,24,2,21,1,14,5,6,3,0,-9,0.9,0
2,,5333,Al Rayan,city Riyadh Al Rayan district_206,Resid.,Open,,,,,0.11,0.07,0,0,0,0,5,34,0,0,0,0,34,1,31,2,21,8,8,5,0,-15,0.9,0
2,,5354,Al Rayan,city Riyadh Al Rayan district_41,Resid.,Open,,,,,0.22,0.15,0,0,0,0,5,44,0,0,0,0,44,2,40,2,40,16,16,8,0,-31,0.9,YES
2,,9118,Irqah,city Riyadh Irqah district_1071,Resid.,Open,,,,,0.11,0.07,0,0,0,0,5,27,0,0,0,0,27,1,24,2,21,7,7,7,0,-15,0.9,0
2,,4743,Al Hamra,Al Hamra district_123,Resid.,Off-Plan,aalosaimi,25-Apr,"April 8, 25","April 8, 25",0.5,0.16,0,0,0,0,5,103,70,36,21,13,33,2,29,2,74,0,57,17,0,36,0.9,0
2,,5618,North Mathar,North Mathar district_10000206,Resid.,Off-Plan,ashuban,25-Apr,"  ","  ",0.02,0,0,0,0,0,5,67,22,3,19,0,45,3,29,13,58,13,28,17,0,3,0.9,0
2,,4790,Al Masyaf,Al Maseef district_10000390,Resid.,Off-Plan,fabdelrahman,25-Mar,"March 24, 25","March 25, 25",1.06,0.51,0,0,0,0,5,230,139,42,43,54,91,0,86,5,170,0,92,78,0,42,0.9,YES
2,,4958,Al Quds,Al Quds district_87,Resid.,Off-Plan,fabdelrahman,25-Apr,"April 26, 25","April 27, 25",0.81,0.36,0,0,0,0,5,110,69,38,31,0,41,3,32,6,128,39,73,16,0,38,0.9,YES
2,,4867,Al Muruj,Al Muruj district_10000426,Mixed.,Off-Plan,surveyor3,25-Mar,"March 23, 25","March 23, 25",0.71,0.44,0,0,0,0,5,232,99,8,47,44,133,7,116,10,126,1,55,70,0,8,0.9,YES
2,,4697,Al Izdihar,Al Ezdihar district_71,Resid.,Off-Plan,fabdelrahman,25-May,"May 7, 25","May 7, 25",0.44,0.3,0,0,0,0,5,99,40,15,25,0,59,0,50,9,97,32,41,24,0,15,0.9,YES
2,,4775,Al Masyaf,Al Maseef district_10000375,Resid.,,,,"May 12, 25","May 12, 25",0.44,0.29,0,0,0,0,5,75,43,28,15,0,32,0,28,4,99,42,46,11,0,28,0.9,YES
2,,4805,Moghrazat,Al Mughrazat district_114,Resid.,Off-Plan,,,"January 29, 25","May 7, 25",0.45,0.3,0,0,0,0,5,102,52,19,33,0,50,0,44,6,103,21,60,22,0,19,0.9,YES
2,,4851,Al Muruj,Al Muruj district_10000407,Resid.,Off-Plan,,,"January 7, 25","May 10, 25",0.45,0.3,0,0,0,0,5,68,34,9,25,0,34,0,33,1,85,34,36,14,1,9,0.9,YES
2,,4853,Al Muruj,Al Muruj district_10000409,Mixed.,Off-Plan,,,"May 10, 25","May 10, 25",0.67,0.45,0,0,0,0,5,122,78,50,28,0,44,1,38,5,167,60,82,24,1,50,0.9,YES
2,,8883,Dhahrat Laban,city Riyadh Dhahrat Laban district_897,Resid.,Off-Plan,,,"February 1, 25","May 10, 25",0.31,0.19,0,0,0,0,5,92,45,20,25,0,47,0,41,6,74,19,37,18,0,17,0.9,0
2,,8439,Al Zahra,city Riyadh Al Zahrah district_138,Resid.,Open,,,,,0.24,0.16,0,1,0,0,5,24,0,0,0,0,24,2,18,4,38,26,7,5,0,-34,0.85,YES
2,,8824,Dhahrat Laban,city Riyadh Dhahrat Laban district_838,Mixed.,Open,,,,,0.44,0.3,0,1,0,0,5,28,0,0,0,0,28,1,26,1,81,52,10,19,0,-62,0.85,0
2,,5609,North Mathar,North Mathar district_10000031,Indust.,Open,,,,,0,0,0,0,0,0,5,28,0,0,0,0,28,2,26,0,42,27,12,3,0,0,0.85,0
2,,4755,Al Hamra,Al Hamra district_135,Resid.,Closed,fabdelrahman,25-Mar,"March 12, 25","March 12, 25",0.19,0.11,0,0,0,0,5,47,26,3,20,3,21,2,18,1,31,1,25,5,0,3,0.85,0
2,,5000,Ar Rabwah,Al Rabwah district_36,Resid.,Open,,,,,0.23,0.15,0,0,0,0,5,53,0,0,0,0,53,1,48,4,36,15,14,7,0,-32,0.83,0
2,,5045,Al Wadi,Al Wadi district_15,Resid.,Off-Plan,fabdelrahman,25-May,"May 24, 25","May 24, 25",0.51,0.34,0,0,0,0,6,118,43,19,24,0,75,2,62,11,94,52,19,23,0,-71,0.83,0
2,,5293,Al Rawabi,city Riyadh Al Rawabi district_239,Mixed.,Open,,,,,0.2,0.13,0,0,0,0,5,40,0,0,0,0,40,4,32,4,35,15,14,6,0,-28,0.83,0
2,,5148,Assafarat,Assafarat district_10000013,Mixed.,Open,,,,,0.7,0.47,1,0,0,0,5,57,4,0,2,2,53,2,41,10,127,73,21,33,0,-97,0.82,0
2,,5156,Al Fakhriyah,city Riyadh Al Fakhriyah district_1220,Resid.,,,,,,0.1,0.07,0,0,0,0,5,30,0,0,0,0,30,1,26,3,18,6,7,5,0,-14,0.8,0
2,,5605,King Faisal,King Faisal district_146,Resid.,Off-Plan,ashuban,25-Apr,"April 27, 25","April 27, 25",0.23,0.08,1,0,0,0,4,53,23,15,8,0,30,0,29,1,32,4,26,2,0,15,0.79,YES
2,,5571,King Abdullah,King Abdullah district_28,Mixed.,Closed,salsiqami,25-Dec,"December 4, 24","December 4, 24",0.16,0.1,0,0,0,0,5,36,5,3,2,0,31,1,30,0,24,11,10,3,0,3,0.78,YES
2,,4926,Al Namudhajiyah,Al Namudhajiyah district_10000393,Mixed.,Off-Plan,aalosaimi,25-Apr,"January 6, 25","January 6, 25",0.2,0.13,0,0,0,0,5,36,3,0,3,0,33,0,33,0,36,15,13,8,0,0,0.76,0
2,,4804,Moghrazat,Al Mughrazat district_113,Resid.,Open,,,,,0.4,0.27,0,0,0,0,5,50,0,0,0,0,50,1,43,6,70,33,21,16,0,-56,0.75,YES
2,,4844,Al Muruj,Al Muruj district_10000400,Resid.,Open,,,,,0.27,0.18,0,0,0,0,5,48,4,0,4,0,44,0,42,2,49,30,8,11,0,-34,0.75,YES
2,,4949,Al Quds,Al Quds district_78,Resid.,Open,,,,,0.22,0.15,0,0,0,0,5,15,0,0,0,0,15,0,14,1,33,24,6,3,0,-31,0.75,YES
2,,4956,Al Quds,Al Quds district_85,Resid.,Open,,,,,0.48,0.32,0,0,0,0,5,43,0,0,0,0,43,2,38,3,81,52,15,14,0,-67,0.75,YES
2,,4963,Al Quds,Al Quds district_92,Resid.,Open,,,,,0.41,0.27,0,0,0,0,5,31,0,0,0,0,31,1,28,2,71,46,10,15,0,-57,0.75,0
2,,4978,Ar Rabwah,Al Rabwah district_163,Resid.,Open,,,,,0.27,0.18,0,0,0,0,5,43,0,0,0,0,43,1,38,4,43,25,11,7,0,-38,0.75,YES
2,,5062,Al Wahah,Al Wahah district_102,Resid.,Open,,,,,0.67,0.45,0,0,0,0,5,46,0,0,0,0,46,2,41,3,117,78,17,22,0,-94,0.75,0
2,,5302,Al Rawabi,city Riyadh Al Rawabi district_248,Mixed.,Open,,,,,0.26,0.17,0,0,0,0,5,50,0,0,0,0,50,2,42,6,46,21,13,12,0,-36,0.75,0
2,,5343,Al Rayan,city Riyadh Al Rayan district_30,Resid.,Off-Plan,ashuban,25-May,"May 22, 25","May 22, 25",0.27,0.18,0,0,0,0,5,67,44,18,26,0,23,1,20,2,43,27,12,4,0,-38,0.75,YES
2,,5346,Al Rayan,city Riyadh Al Rayan district_33,Resid.,Open,,,,,0.31,0.21,0,0,0,0,5,31,0,0,0,0,31,2,22,7,56,30,11,15,0,-44,0.75,0
2,,5348,Al Rayan,city Riyadh Al Rayan district_35,Resid.,Open,,,,,0.29,0.2,0,0,0,0,5,47,0,0,0,0,47,2,39,6,52,27,13,12,0,-41,0.75,YES
2,,7995,Al Rimal,city Riyadh Al Rimal district_42,Mixed.,Open,,,,,0.45,0.3,0,0,0,0,5,26,0,0,0,0,26,2,23,1,68,58,7,3,0,-63,0.75,0
2,,8827,Dhahrat Laban,city Riyadh Dhahrat Laban district_841,Mixed.,Open,,,,,0.35,0.23,0,0,0,0,5,24,1,0,1,0,23,0,20,3,63,37,10,16,0,-48,0.75,0
